content	x	y	w	h
m	391	1456	12	19
p	413	1456	12	19
o	425	1456	8	19
s	437	1456	8	19
e	447	1455	7	19
d	457	1454	7	19
b	476	1454	9	19
y	488	1454	9	19
W	512	1454	5	19
.	530	1453	5	19
D	548	1453	5	19
.	562	1453	5	19
J	581	1452	7	19
o	591	1452	8	19
n	602	1452	10	19
e	616	1452	9	19
s	627	1452	7	19
1	645	1451	7	19
8	655	1451	7	19
6	664	1451	9	19
9	677	1451	11	19
.	690	1451	5	19
S	719	1450	11	19
e	734	1450	9	19
e	745	1450	7	19
s	767	1449	7	19
k	776	1449	9	19
e	790	1449	9	19
t	801	1449	7	19
c	809	1449	7	19
h	819	1449	7	19
o	838	1448	9	19
f	850	1448	9	19
h	866	1447	9	19
i	879	1447	7	19
m	887	1447	4	19
a	912	1446	9	19
n	924	1446	10	19
d	937	1446	11	19
o	956	1446	9	19
t	969	1445	7	19
h	977	1445	8	19
e	991	1445	8	19
r	1000	1445	6	19
t	1018	1445	6	19
u	1025	1444	7	19
n	1036	1444	10	19
e	1050	1444	9	19
s	1061	1444	7	19
o	1079	1444	7	19
f	1089	1443	7	19
h	1106	1443	9	19
i	1119	1443	7	19
s	1128	1443	6	19
i	1142	1443	6	19
n	1150	1442	6	19
t	1183	1442	4	19
h	1187	1442	7	19
i	1199	1442	7	19
s	1208	1442	6	19
e	1222	1441	9	19
d	1235	1441	8	19
i	1245	1441	7	19
t	1254	1441	5	19
i	1260	1441	5	19
o	1267	1441	7	19
n	1277	1439	7	19
o	1296	1439	9	19
f	1308	1439	9	19
t	1327	1439	4	19
h	1331	1439	7	19
e	1343	1438	11	19
S	1363	1438	11	19
a	1378	1438	10	19
c	1391	1438	8	19
r	1401	1437	7	19
e	1411	1437	7	19
d	1421	1437	7	19
H	1440	1437	14	19
a	1459	1437	11	19
r	1471	1436	7	19
p	1481	1436	7	19
1	1499	1436	7	19
9	1508	1436	9	19
1	1522	1436	9	19
1	1533	1435	7	19
.	1542	1435	5	19
S	1571	1435	11	19
e	1586	1435	10	19
e	1598	1434	9	19
f	1628	1434	6	19
u	1635	1434	7	19
l	1647	1434	7	19
l	1655	1433	4	19
h	1668	1433	9	19
i	1681	1433	7	19
s	1690	1433	6	19
t	1698	1432	6	19
o	1705	1432	7	19
r	1715	1432	8	19
y	1726	1431	9	19
o	1755	1431	7	19
f	1765	1431	7	19
t	1785	1430	4	19
h	1789	1430	7	19
e	1801	1430	11	19
h	1817	1430	12	19
y	1834	1430	10	19
m	1843	1429	11	19
n	1861	1429	15	19
t	1889	1429	4	19
o	1895	1429	4	19
t	226	1491	5	19
h	230	1491	8	19
i	242	1490	8	19
s	250	1490	5	19
t	265	1489	7	19
u	272	1489	8	19
n	283	1488	11	19
e	296	1488	12	19
,	309	1488	6	19
p	324	1488	8	19
a	333	1486	10	19
g	347	1486	11	19
e	359	1486	10	19
4	378	1485	8	19
8	388	1484	8	19
u	407	1484	10	19
n	419	1483	11	19
d	433	1483	11	19
e	446	1483	8	19
r	455	1482	7	19
t	477	1481	7	19
u	484	1481	8	19
n	495	1481	11	19
e	508	1480	12	19
D	525	1478	15	20
e	544	1479	12	19
v	556	1478	9	19
o	567	1478	10	19
t	580	1477	8	19
i	587	1477	6	19
o	594	1476	8	19
n	604	1476	8	19
'	617	1476	6	19
